image,question,answer,split
butterfly_019.jpg,Cánh bướm có bao nhiêu màu sắc chính?,Cánh có ba màu chính là vàng đen cam.,train
butterfly_019.jpg,Vòi của con bướm đang làm gì?,Vòi đang cắm vào hoa để hút mật.,train
butterfly_019.jpg,Có phải ảnh chụp cận cảnh con bướm không?,"Có, đây là một bức ảnh chụp cận cảnh.",train
butterfly_020.jpg,Con bướm có màu sắc như thế nào?,Nó có màu cam với nhiều đốm đen.,train
butterfly_020.jpg,Con bướm đang đậu trên bông hoa màu gì?,Con bướm đang đậu trên bông hoa tím.,train
butterfly_020.jpg,Nền của bức ảnh này có màu gì?,Nền của bức ảnh là màu xanh lá.,train
butterfly_020.jpg,Con bướm có đang bay không?,"Không, con bướm đang đứng yên trên hoa.",train
butterfly_021.jpg,Con bướm trong ảnh có đặc điểm gì lạ?,Cánh của con bướm này trong suốt hoàn toàn. ,train
butterfly_021.jpg,Viền cánh bướm có màu gì?,Viền cánh bướm có màu cam và đen đậm. ,train
butterfly_021.jpg,Con bướm đang đậu trên cái gì?,Nó đang đậu trên những bông hoa trắng nhỏ. ,train
butterfly_021.jpg,Có phải con bướm có màu xanh không?,"Không, cánh nó trong suốt và có viền cam.",train
butterfly_022.jpg,Có bao nhiêu con bướm trong bức ảnh này?,Có hai con bướm đang đậu sát nhau. ,train
butterfly_022.jpg,Màu sắc chủ đạo của đôi bướm là gì?,Chúng có màu cam với nhiều đốm đen. ,train
butterfly_022.jpg,Con bướm đang đậu trên bộ phận nào của cây?,Hai con bướm đang đậu trên một nụ hoa. ,train
butterfly_022.jpg,Bướm có đang bay trên trời không?,"Không, chúng đang đậu yên trên cành cây.",train
butterfly_023.jpg,Kích thước của con bướm này như thế nào?,Đây là một con bướm có kích thước lớn. ,train
butterfly_023.jpg,Cánh bướm có những màu sắc nào?,Cánh có màu đỏ cam trắng và đen. ,train
butterfly_023.jpg,Con bướm đang đậu ở đâu?,Nó đang đậu trên một thân cây gỗ. ,train
butterfly_023.jpg,Cánh bướm có họa tiết giống mắt không?,"Có, họa tiết ở rìa cánh giống mắt động vật.",train
butterfly_024.jpg,Con bướm đang đậu trên vị trí nào?,Con bướm đậu trên vai áo của một người. ,train
butterfly_024.jpg,Cánh bướm có màu sắc gì đặc biệt?,Cánh bướm có màu tím xanh óng ánh. ,train
butterfly_024.jpg,Áo của người trong ảnh màu gì?,Người đó đang mặc một chiếc áo màu đỏ. ,train
butterfly_024.jpg,Con bướm có xòe cánh rộng không?,"Có, nó đang xòe cánh để lộ màu tím.",train
butterfly_025.jpg,Bức ảnh chụp bộ phận nào của con bướm?,Ảnh chụp cận cảnh phần đầu và thân bướm. ,train
butterfly_025.jpg,Phần thân của con bướm có màu gì?,Thân bướm màu đen với các đốm trắng. ,train
butterfly_025.jpg,Phía sau con bướm là gì?,Phía sau là những bông hoa màu hồng mờ. ,train
butterfly_025.jpg,Con bướm có mấy chiếc râu?,"Nó có hai chiếc râu dài hướng về trước.",train
butterfly_026.jpg,Đây là loài bướm gì?,Đây là một con bướm chúa đại diện. ,train
butterfly_026.jpg,Hoa văn trên cánh bướm có màu gì?,Cánh có màu cam với gân màu đen. ,train
butterfly_026.jpg,Con bướm đang đậu trên loại hoa nào?,Nó đang đậu trên cụm hoa màu cam vàng. ,train
butterfly_026.jpg,Rìa cánh bướm có đốm trắng không?,"Có, rìa cánh đen có rất nhiều đốm trắng.",train
butterfly_027.jpg,Con bướm đang ở tư thế nào?,Con bướm đang đậu khép cánh lại theo chiều dọc. ,train
butterfly_027.jpg,Màu sắc phía ngoài cánh bướm là gì?,Phía ngoài cánh có màu trắng đốm đen. ,train
butterfly_027.jpg,Con bướm đậu trên loại cây nào?,Nó đang đậu trên một cành cây mỏng. ,train
butterfly_027.jpg,Nền phía sau có màu gì?,"Nền phía sau có màu xanh dương nhạt.",train
butterfly_028.jpg,Con bướm đang đậu trên bề mặt nào?,Nó đang đậu trên những viên đá cuội. ,train
butterfly_028.jpg,Màu sắc của con bướm này là gì?,Con bướm có màu đen xanh và trắng. ,train
butterfly_028.jpg,Cánh bướm có đốm màu gì ở rìa?,Rìa cánh có những đốm nhỏ màu cam. ,train
butterfly_028.jpg,Có phải con bướm đang bay không?,"Không, nó đang đậu yên trên mặt đất đá.",train
butterfly_029.jpg,Con bướm đang đậu trên cái gì?,Nó đang đậu trên một chiếc lá khô. ,train
butterfly_029.jpg,Cánh bướm có màu sắc như thế nào?,Cánh bướm có màu cam rực rỡ. ,train
butterfly_029.jpg,Trên cánh bướm có họa tiết gì?,Trên cánh có các đường sọc và đốm đen. ,train
butterfly_029.jpg,Con bướm có đang xòe cánh không?,"Có, con bướm đang xòe rộng đôi cánh cam.",train
butterfly_030.jpg,Con bướm đang đậu trên bông hoa màu gì?,Con bướm đang đậu trên bông hoa tím. ,train
butterfly_030.jpg,Cánh bướm có màu sắc chủ đạo là gì?,Màu chủ đạo của cánh bướm là màu đen. ,train
butterfly_030.jpg,Trên cánh bướm có đốm màu gì?,Trên cánh có đốm màu trắng và đỏ. ,train
butterfly_030.jpg,Con bướm có râu dài không?,"Có, hai chiếc râu của nó rất dài và mảnh.",train
butterfly_031.jpg,Con bướm đang đậu trên cái gì?,Con bướm đang đậu trên những bông hoa vàng.,train
butterfly_031.jpg,Cánh bướm có màu sắc như thế nào?,Cánh bướm có màu cam rực rỡ và viền đen.,train
butterfly_031.jpg,Có bao nhiêu con bướm trong ảnh?,Có một con bướm đang đậu giữa đám lá.,train
butterfly_031.jpg,Có phải bướm đang đậu trên lá xanh không?,"Không, con bướm đang đậu trên chùm hoa vàng.",train
butterfly_032.jpg,Con bướm đang đậu cùng với con vật nào?,Con bướm đang đậu cùng một con kiến nhỏ.,train
butterfly_032.jpg,Cánh bướm có màu sắc chủ đạo gì?,Cánh bướm có màu xanh dương và đen.,train
butterfly_032.jpg,Bề mặt bên dưới con bướm là gì?,Bên dưới là một chiếc lá khô màu nâu.,train
butterfly_032.jpg,Cánh bướm có đốm màu đỏ không?,"Có, phía dưới cánh có hai đốm màu đỏ.",train
butterfly_033.jpg,Bức ảnh chụp con bướm ở góc độ nào?,Ảnh chụp con bướm từ phía bên cạnh.,train
butterfly_033.jpg,Màu sắc bên ngoài cánh bướm như thế nào?,Cánh có màu nâu xám với nhiều vân nhỏ.,train
butterfly_033.jpg,Trên cánh bướm có họa tiết gì đặc biệt?,Trên cánh có một hình tròn giống mắt lớn.,train
butterfly_033.jpg,Con bướm có đang xòe cánh không?,"Không, con bướm đang khép cánh lại khi đậu.",train
butterfly_034.jpg,Con bướm đang đậu trên vị trí nào?,Con bướm đang đậu trên một chiếc lá xanh.,train
butterfly_034.jpg,Màu sắc chính trên cánh bướm là gì?,Cánh bướm có màu xanh lá và nâu đen.,train
butterfly_034.jpg,Trong ảnh có xuất hiện chữ viết không?,Có những dòng chữ trắng ở góc trên phải.,train
butterfly_034.jpg,Cánh bướm có viền màu trắng không?,"Có, phần rìa dưới cánh có các đốm trắng.",train
butterfly_035.jpg,Con bướm đang đậu trên loại hoa nào?,Con bướm đang đậu trên bông hoa màu hồng.,train
butterfly_035.jpg,Vật thể nào xuất hiện ở phía sau bông hoa?,Phía sau bông hoa là một chiếc lốp xe.,train
butterfly_035.jpg,Cánh bướm có màu sắc chủ đạo là gì?,Cánh bướm có màu vàng nhạt và đen.,train
butterfly_035.jpg,Con bướm có đốm màu cam ở cánh không?,"Có, một đốm cam nhỏ xuất hiện ở đuôi cánh.",train
butterfly_036.jpg,Con bướm đang đậu trên bề mặt nào?,Nó đang đậu trên một thanh gỗ cũ.,train
butterfly_036.jpg,Họa tiết trên cánh bướm trông giống cái gì?,Họa tiết trông giống như vân đá hoặc vỏ cây.,train
butterfly_036.jpg,Cánh bướm có màu sắc như thế nào?,Cánh bướm có màu xám xanh và nâu nhạt.,train
butterfly_036.jpg,Con bướm có đang đậu yên không?,"Có, con bướm đang đậu rất yên trên gỗ.",train
butterfly_037.jpg,Đây là loài bướm hay loài ngài?,Đây là một con ngài có kích thước lớn.,train
butterfly_037.jpg,Con vật đang đậu trên loại lá nào?,Nó đang đậu trên một chiếc lá cọ lớn.,train
butterfly_037.jpg,Màu sắc chủ đạo của con vật này là gì?,Nó có màu nâu đỏ với họa tiết trắng.,train
butterfly_037.jpg,Cánh của nó có hình dáng giống gì không?,"Có, hai đầu cánh giống như đầu rắn.",train
butterfly_038.jpg,Có bao nhiêu con bướm trong bức ảnh này?,Có hai con bướm đang đứng đối diện nhau.,train
butterfly_038.jpg,Màu sắc của đôi bướm này là gì?,Chúng có màu xanh xám với đốm cam.,train
butterfly_038.jpg,Chúng đang đậu trên bề mặt như thế nào?,Chúng đang đậu trên một tấm gỗ phẳng.,train
butterfly_038.jpg,Hai con bướm có chạm râu vào nhau không?,"Có, hai chiếc râu của chúng đang chạm nhau.",train
butterfly_039.jpg,Con bướm đang đậu trên loại cây nào?,Con bướm đang đậu trên chùm hoa trắng.,train
butterfly_039.jpg,Cánh bướm có màu sắc chủ đạo là gì?,Toàn bộ cánh bướm có màu đen tuyền.,train
butterfly_039.jpg,Phía sau con bướm là vật thể gì?,Phía sau là một tảng đá màu xám lớn.,train
butterfly_039.jpg,Rìa cánh bướm có đốm màu trắng không?,"Có, rìa cánh có một hàng đốm trắng nhỏ.",train
butterfly_040.jpg,Con bướm này có đặc điểm gì nổi bật?,Nó có đôi đuôi cánh rất dài và mảnh.,train
butterfly_040.jpg,Màu sắc chính của con bướm này là gì?,Con bướm có màu vàng chanh rực rỡ.,train
butterfly_040.jpg,Nó đang đậu ở vị trí nào trong ảnh?,Nó đang đậu giữa những tán lá xanh mướt.,train
butterfly_040.jpg,Trên cánh bướm có đốm màu đen không?,"Có, mỗi cánh có một đốm tròn nhỏ màu đen.",train
butterfly_041.jpg,Con bướm trong ảnh có màu sắc gì chủ đạo?,Nó có màu xanh lá cây và đen. ,train
butterfly_041.jpg,Có bao nhiêu dải màu xanh trên mỗi cánh?,Có một dải màu xanh sáng trên mỗi cánh. ,train
butterfly_041.jpg,Con bướm đang đậu ở đâu?,Nó đang đậu trên một cành cây nhỏ. ,train
butterfly_041.jpg,Bướm có đang bay không?,"Không, con bướm đang đậu yên xòe cánh.",train
butterfly_042.jpg,Con bướm đang đậu trên vật thể gì?,Con bướm đang đậu trên những chiếc kén khô. ,train
butterfly_042.jpg,Cánh bướm có những màu nào?,Cánh bướm có màu cam đỏ và trắng. ,train
butterfly_042.jpg,Phông nền của ảnh có màu gì?,Phông nền của bức ảnh có màu xanh lá. ,train
butterfly_042.jpg,Con bướm có đang khép cánh không?,"Có, con bướm đang đậu khép cánh lại.",train
butterfly_043.jpg,Có bao nhiêu con bướm trong ảnh này?,Có rất nhiều con bướm màu vàng chanh. ,train
butterfly_043.jpg,Những con bướm đang đậu trên bề mặt gì?,Chúng đang đậu trên mặt đất ẩm ướt. ,train
butterfly_043.jpg,Màu sắc nổi bật nhất trong ảnh là gì?,Màu vàng của đàn bướm là nổi bật nhất. ,train
butterfly_043.jpg,Các con bướm có đang bay không?,"Không, đàn bướm đang đậu tập trung dưới đất.",train
butterfly_044.jpg,Con bướm trong ảnh có màu sắc gì?,Con bướm có màu đen và đốm cam. ,train
butterfly_044.jpg,Nó đang đậu trên loại hoa nào?,Nó đang đậu trên những bông hoa tím. ,train
butterfly_044.jpg,Trên cánh bướm có những đốm màu gì?,Cánh có đốm màu trắng và màu cam. ,train
butterfly_044.jpg,Con bướm có râu không?,"Có, con bướm có hai chiếc râu dài.",train
butterfly_045.jpg,Đây là loài bướm gì?,Đây là một con bướm chúa. ,train
butterfly_045.jpg,Cánh bướm có màu sắc như thế nào?,Cánh có màu cam với gân đen đậm. ,train
butterfly_045.jpg,Con bướm đang đậu trên đâu?,Nó đang đậu trên một chiếc lá xanh. ,train
butterfly_045.jpg,Rìa cánh bướm có đốm trắng không?,"Có, rìa cánh đen có nhiều đốm trắng.",train
butterfly_046.jpg,Cánh bướm có màu sắc chủ đạo là gì?,Màu chủ đạo của cánh là trắng đen. ,train
butterfly_046.jpg,Con bướm đang đậu trên bông hoa màu gì?,Nó đang đậu trên một bông hoa hồng. ,train
butterfly_046.jpg,Họa tiết trên cánh bướm trông như thế nào?,Họa tiết trên cánh bướm trông giống ren. ,train
butterfly_046.jpg,Con bướm có đang xòe cánh rộng không?,"Có, con bướm đang xòe rộng đôi cánh.",train
butterfly_047.jpg,Có bao nhiêu con bướm đậu trên lá?,Có rất nhiều con bướm đang đậu kín. ,train
butterfly_047.jpg,Đàn bướm này có màu sắc gì?,Đàn bướm có màu cam và đen. ,train
butterfly_047.jpg,Các con bướm đang đậu trên bộ phận nào?,Chúng đang đậu trên những chiếc lá xanh. ,train
butterfly_047.jpg,Đàn bướm có đang bay loạn xạ không?,"Không, đàn bướm đang đậu yên trên cây.",train
butterfly_048.jpg,Con bướm này có màu sắc gì chủ đạo?,Nó có màu nâu đậm và đốm vàng. ,train
butterfly_048.jpg,Trên cánh bướm có họa tiết gì đặc biệt?,Trên cánh có các đốm tròn màu đen. ,train
butterfly_048.jpg,Con bướm đang đậu trên cái gì?,Nó đang đậu trên một chiếc lá cỏ. ,train
butterfly_048.jpg,Cánh bướm có đang mở ra không?,"Có, con bướm đang xòe cánh khi đậu.",train
butterfly_049.jpg,Có bao nhiêu con bướm trong ảnh?,Có ba con bướm đang đậu trên hoa. ,train
butterfly_049.jpg,Những con bướm này có màu gì?,Chúng đều có màu cam và đen. ,train
butterfly_049.jpg,Chúng đang đậu trên loại hoa nào?,Chúng đang đậu trên cành hoa tím dài. ,train
butterfly_049.jpg,Các con bướm có đang bay không?,"Không, ba con bướm đang đậu trên hoa.",train
butterfly_050.jpg,Đây là loài vật gì?,Đây là một con ngài kích thước lớn. ,train
butterfly_050.jpg,Cánh của nó có màu sắc như thế nào?,Cánh có màu nâu xám và vân sóng. ,train
butterfly_050.jpg,Nó đang đậu trên bề mặt gì?,Nó đang đậu trên một bức tường đá. ,train
butterfly_050.jpg,Trên cánh có họa tiết giống mắt không?,"Có, trên cánh có họa tiết giống mắt.",train
butterfly_051.jpg,Con bướm đang đậu trên vật thể gì?,Con bướm đang đậu trên một tảng đá xám.,train
butterfly_051.jpg,Cánh bướm có màu sắc và hoa văn thế nào?,Cánh bướm màu cam với các đốm đen lớn.,train
butterfly_051.jpg,Có bao nhiêu con bướm trong bức ảnh này?,Bức ảnh chỉ có duy nhất một con bướm.,train
butterfly_051.jpg,Có phải con bướm đang đậu trên lá không?,"Không, con bướm đang đậu trên bề mặt đá.",train
butterfly_052.jpg,Con bướm này có màu sắc chủ đạo là gì?,Màu sắc chủ đạo là vàng đen và xanh.,train
butterfly_052.jpg,Hình dáng của đôi cánh bướm như thế nào?,Đôi cánh xòe rộng đối xứng và rất đẹp.,train
butterfly_052.jpg,Nền phía sau con bướm là gì?,Phía sau là những nhánh cỏ xanh mờ ảo.,train
butterfly_052.jpg,Trên cánh có đốm màu đỏ không?,"Có, hai đốm đỏ xuất hiện ở cuối cánh.",train
butterfly_053.jpg,Con bướm đang làm gì trong ảnh?,Con bướm đang hút mật trên nụ hoa.,train
butterfly_053.jpg,Góc chụp của bức ảnh này như thế nào?,Bức ảnh được chụp từ phía bên cạnh.,train
butterfly_053.jpg,Màu sắc của cánh bướm có gì đặc biệt?,Cánh có các đường sọc đen trên nền vàng.,train
butterfly_053.jpg,Hoa trong ảnh có màu gì?,"Bông hoa có màu tím nhạt và trắng.",train
butterfly_054.jpg,Con bướm đang ở giữa đám thực vật nào?,Con bướm đang đậu giữa những bông hoa tím.,train
butterfly_054.jpg,Màu sắc của con bướm này là gì?,Nó có màu cam rực rỡ và đốm đen.,train
butterfly_054.jpg,Cánh bướm đang ở trạng thái nào?,Con bướm đang xòe rộng cánh trên hoa.,train
butterfly_054.jpg,Có phải tất cả hoa đều màu vàng không?,"Không, hoa trong ảnh chủ yếu màu tím.",train
butterfly_055.jpg,Con bướm đang đậu trên bộ phận nào của cây?,Nó đang đậu trên một nụ hoa lớn.,train
butterfly_055.jpg,Hoa văn trên cánh bướm có đặc điểm gì?,Cánh bướm có nhiều đốm đen li ti.,train
butterfly_055.jpg,Lá cây xung quanh có hình dáng thế nào?,Lá cây có răng cưa và màu xanh đậm.,train
butterfly_055.jpg,Con bướm có màu xanh dương không?,"Không, con bướm này có màu cam đất.",train
butterfly_056.jpg,Con bướm đang đậu trên loại hoa gì?,Nó đậu trên một bông hoa thược dược.,train
butterfly_056.jpg,Màu sắc của bông hoa là màu gì?,Bông hoa có màu đỏ và trắng xen kẽ.,train
butterfly_056.jpg,Con bướm thuộc loài bướm nào?,Đây là một con bướm chúa màu cam.,train
butterfly_056.jpg,Bông hoa có nhị màu vàng không?,"Có, nhị hoa ở giữa có màu vàng tươi.",train
butterfly_057.jpg,Con bướm đang đậu ở vị trí nào?,Nó đang đậu trên một chiếc lá xanh.,train
butterfly_057.jpg,Màu sắc của con bướm này như thế nào?,Cánh bướm màu đen với các đốm trắng.,train
butterfly_057.jpg,Hình dáng các đốm trên cánh bướm ra sao?,Các đốm trắng có hình bầu dục lớn.,train
butterfly_057.jpg,Con bướm có đang bay không?,"Không, con bướm đang đứng yên trên lá.",train
butterfly_058.jpg,Con bướm đang đậu trên loài hoa nào?,Nó đang đậu trên một bông hoa tím.,train
butterfly_058.jpg,Màu sắc cánh bướm có gì nổi bật?,Cánh bướm có màu vàng nhạt và xanh.,train
butterfly_058.jpg,Khung cảnh xung quanh con bướm là gì?,Xung quanh là một cánh đồng hoa tím.,train
butterfly_058.jpg,Bướm có màu đỏ ở rìa cánh không?,"Có, rìa cánh dưới có hai đốm đỏ.",train
butterfly_059.jpg,Bầu trời trong ảnh có đặc điểm gì?,Bầu trời xanh ngắt với những đám mây.,train
butterfly_059.jpg,Con bướm đang làm gì trên bông hoa?,Nó đang đậu và hút mật hoa vàng.,train
butterfly_059.jpg,Màu sắc của con bướm này là gì?,Cánh bướm có màu cam đen và trắng.,train
butterfly_059.jpg,Có phải ảnh chụp dưới đất không?,"Không, ảnh chụp hướng lên bầu trời cao.",train
butterfly_060.jpg,Con bướm này có màu sắc chủ đạo gì?,Toàn thân con bướm có màu xanh dương.,train
butterfly_060.jpg,Nó đang ở trong môi trường nào?,Nó đang đậu giữa đám cỏ xanh mướt.,train
butterfly_060.jpg,Cánh bướm có viền màu gì?,Cánh bướm có một dải viền trắng nhỏ.,train
butterfly_060.jpg,Con bướm có đang khép cánh không?,"Không, con bướm đang mở rộng đôi cánh.",train
butterfly_061.jpg,Con bướm đang đậu trên loại cây nào?,Con bướm đang đậu trên những lá dương xỉ. ,train
butterfly_061.jpg,Cánh bướm có màu sắc và họa tiết gì?,Cánh bướm màu xanh dương có nhiều đốm trắng. ,train
butterfly_061.jpg,Có bao nhiêu con bướm trong ảnh?,Chỉ có một con bướm duy nhất trong ảnh. ,train
butterfly_061.jpg,Có phải con bướm đang bay không?,"Không, con bướm đang đậu yên trên lá.",train
butterfly_062.jpg,Con bướm đang làm gì trong ảnh?,Con bướm đang hút mật trên chùm hoa. ,train
butterfly_062.jpg,Cánh của con bướm này có đặc điểm gì?,Cánh của nó có đặc tính trong suốt. ,train
butterfly_062.jpg,Chùm hoa trong ảnh có màu sắc gì?,Chùm hoa có màu đỏ và màu cam. ,train
butterfly_062.jpg,Con bướm có màu xanh dương không?,"Không, cánh bướm trong suốt có viền đen.",train
butterfly_063.jpg,Có bao nhiêu con bướm trong bức ảnh này?,Có hai con bướm đang đậu sát nhau. ,train
butterfly_063.jpg,Màu sắc của đôi bướm này như thế nào?,Chúng có màu nâu nhạt và đốm đỏ. ,train
butterfly_063.jpg,Chúng đang đậu ở môi trường nào?,Đôi bướm đang đậu giữa những tán lá. ,train
butterfly_063.jpg,Hai con bướm có đang bay không?,"Không, hai con bướm đang đậu rất yên.",train
butterfly_064.jpg,Con bướm đang đậu trên bông hoa màu gì?,Con bướm đang đậu trên bông hoa vàng. ,train
butterfly_064.jpg,Cánh bướm có họa tiết và màu sắc gì?,Cánh bướm màu trắng có các vân đen. ,train
